tissue,annotation_level,celltype,marker
Fetal Development,L2,Muscle-Schwann Cells,MYLPF
Fetal Development,L2,Muscle-Schwann Cells,POU3F1
Fetal Development,L2,Muscle-Schwann Cells,TNNC2
Fetal Development,L2,Muscle-Schwann Cells,PLP1
Fetal Development,L2,Muscle-Schwann Cells,SOX10
Fetal Development,L2,Muscle-Schwann Cells,CDH19
Fetal Development,L2,Muscle-Schwann Cells,FSTL5
Fetal Development,L2,Adrenal-Schwann Cells,CYP17A1
Fetal Development,L2,Adrenal-Schwann Cells,FOXD3
Fetal Development,L2,Adrenal-Schwann Cells,MPZ
Fetal Development,L2,Adrenal-Schwann Cells,PLP1
Fetal Development,L2,Adrenal-Schwann Cells,APOE
Fetal Development,L2,Adrenal-Schwann Cells,DHCR24
Fetal Development,L2,Adrenal-Schwann Cells,SOX10
Fetal Development,L2,Adrenal-Schwann Cells,DLK1
Fetal Development,L2,Adrenal-Schwann Cells,CDH19
Fetal Development,L2,Pancreas-Islet Endocrine Cells,TTR
Fetal Development,L2,Pancreas-Islet Endocrine Cells,ERO1LB
Fetal Development,L2,Pancreas-Islet Endocrine Cells,MEIS2
Fetal Development,L2,Pancreas-Islet Endocrine Cells,CADPS
Fetal Development,L2,Pancreas-Islet Endocrine Cells,CPE
Fetal Development,L2,Pancreas-Islet Endocrine Cells,GNAS
Fetal Development,L2,Pancreas-Islet Endocrine Cells,INS
Fetal Development,L2,Pancreas-Islet Endocrine Cells,MAFB
Fetal Development,L2,Pancreas-Islet Endocrine Cells,PCSK1N
Fetal Development,L2,Eye-Amacrine Cells,DCC
Fetal Development,L2,Eye-Amacrine Cells,MEIS2
Fetal Development,L2,Eye-Amacrine Cells,CADM2
Fetal Development,L2,Eye-Amacrine Cells,SYT1
Fetal Development,L2,Eye-Amacrine Cells,RP11-689K5.3
Fetal Development,L2,Eye-Amacrine Cells,ZNF385D
Fetal Development,L2,Eye-Amacrine Cells,RORB
Fetal Development,L2,Eye-Amacrine Cells,DSCAM
Fetal Development,L2,Eye-Amacrine Cells,MIR181A1HG
Fetal Development,L2,Cerebellum-Unipolar Brush Cells,GRIA2
Fetal Development,L2,Cerebellum-Unipolar Brush Cells,NLGN1
Fetal Development,L2,Cerebellum-Unipolar Brush Cells,UNC5C
Fetal Development,L2,Cerebellum-Unipolar Brush Cells,NRXN1
Fetal Development,L2,Cerebellum-Unipolar Brush Cells,PCDH9
Fetal Development,L2,Cerebellum-Unipolar Brush Cells,STXBP5L
Fetal Development,L2,Cerebellum-Unipolar Brush Cells,CCSER1
Fetal Development,L2,Cerebellum-Unipolar Brush Cells,LPHN3
Fetal Development,L2,Cerebellum-Unipolar Brush Cells,LRP1B
Fetal Development,L2,Stomach-MUC13 DMBT1 Positive Cells,FER1L6
Fetal Development,L2,Stomach-MUC13 DMBT1 Positive Cells,ABCC3
Fetal Development,L2,Stomach-MUC13 DMBT1 Positive Cells,PHGR1
Fetal Development,L2,Stomach-MUC13 DMBT1 Positive Cells,HNF4A
Fetal Development,L2,Stomach-MUC13 DMBT1 Positive Cells,MUC13
Fetal Development,L2,Stomach-MUC13 DMBT1 Positive Cells,HNF4G
Fetal Development,L2,Stomach-MUC13 DMBT1 Positive Cells,CDH17
Fetal Development,L2,Stomach-MUC13 DMBT1 Positive Cells,KRT20
Fetal Development,L2,Stomach-MUC13 DMBT1 Positive Cells,CEA
Fetal Development,L2,Pancreas-Acinar Cells,CPA2
Fetal Development,L2,Pancreas-Acinar Cells,CPA1
Fetal Development,L2,Pancreas-Acinar Cells,CLPS
Fetal Development,L2,Pancreas-Acinar Cells,CTRB2
Fetal Development,L2,Pancreas-Acinar Cells,SYCN
Fetal Development,L2,Pancreas-Acinar Cells,CTRB1
Fetal Development,L2,Pancreas-Acinar Cells,GP2
Fetal Development,L2,Pancreas-Acinar Cells,SPINK1
Fetal Development,L2,Pancreas-Acinar Cells,DLK1
Fetal Development,L2,Kidney-Metanephric Cells,WT1
Fetal Development,L2,Kidney-Metanephric Cells,EYA1
Fetal Development,L2,Kidney-Metanephric Cells,BMPER
Fetal Development,L2,Kidney-Metanephric Cells,HMGA2
Fetal Development,L2,Kidney-Metanephric Cells,GPC3
Fetal Development,L2,Kidney-Metanephric Cells,ITGA8
Fetal Development,L2,Kidney-Metanephric Cells,PTPN14
Fetal Development,L2,Kidney-Metanephric Cells,PAX2
Fetal Development,L2,Kidney-Metanephric Cells,TRABD2B
Fetal Development,L2,Pancreas-Ductal Cells,JUN
Fetal Development,L2,Pancreas-Ductal Cells,FXYD2
Fetal Development,L2,Pancreas-Ductal Cells,H3F3B
Fetal Development,L2,Pancreas-Ductal Cells,CLU
Fetal Development,L2,Pancreas-Ductal Cells,SLC4A4
Fetal Development,L2,Pancreas-Ductal Cells,SPINK1
Fetal Development,L2,Pancreas-Ductal Cells,ATP1B1
Fetal Development,L2,Pancreas-Ductal Cells,DLK1
Fetal Development,L2,Pancreas-Ductal Cells,CFTR
Fetal Development,L2,Eye-Retinal Pigment Cells,LINC00276
Fetal Development,L2,Eye-Retinal Pigment Cells,TYRP1
Fetal Development,L2,Eye-Retinal Pigment Cells,COL8A1
Fetal Development,L2,Eye-Retinal Pigment Cells,PMEL
Fetal Development,L2,Eye-Retinal Pigment Cells,SLC38A11
Fetal Development,L2,Eye-Retinal Pigment Cells,RPE65
Fetal Development,L2,Eye-Retinal Pigment Cells,TYR
Fetal Development,L2,Eye-Retinal Pigment Cells,BEST1
Fetal Development,L2,Eye-Retinal Pigment Cells,RP11-690J15.1
Fetal Development,L2,Heart-Cardiomyocytes,MYL7
Fetal Development,L2,Heart-Cardiomyocytes,TNNC1
Fetal Development,L2,Heart-Cardiomyocytes,TNNT2
Fetal Development,L2,Heart-Cardiomyocytes,MYL4
Fetal Development,L2,Heart-Cardiomyocytes,TPM1
Fetal Development,L2,Heart-Cardiomyocytes,ACTC1
Fetal Development,L2,Heart-Cardiomyocytes,SLC8A1
Fetal Development,L2,Heart-Cardiomyocytes,MYH7
Fetal Development,L2,Heart-Cardiomyocytes,TNNI1
Fetal Development,L2,Stomach-Squamous Epithelial Cells,EGR1
Fetal Development,L2,Stomach-Squamous Epithelial Cells,ANXA1
Fetal Development,L2,Stomach-Squamous Epithelial Cells,RAB11FIP1
Fetal Development,L2,Stomach-Squamous Epithelial Cells,PDE4D
Fetal Development,L2,Stomach-Squamous Epithelial Cells,FOS
Fetal Development,L2,Stomach-Squamous Epithelial Cells,KRT13
Fetal Development,L2,Stomach-Squamous Epithelial Cells,PARD3
Fetal Development,L2,Stomach-Squamous Epithelial Cells,S100A6
Fetal Development,L2,Stomach-Squamous Epithelial Cells,CSMD1
Fetal Development,L2,Lung-Squamous Epithelial Cells,TMPRSS11B
Fetal Development,L2,Lung-Squamous Epithelial Cells,ECM1
Fetal Development,L2,Lung-Squamous Epithelial Cells,IL1RN
Fetal Development,L2,Lung-Squamous Epithelial Cells,MT2A
Fetal Development,L2,Lung-Squamous Epithelial Cells,LGALS3
Fetal Development,L2,Lung-Squamous Epithelial Cells,KRT13
Fetal Development,L2,Lung-Squamous Epithelial Cells,TACSTD2
Fetal Development,L2,Lung-Squamous Epithelial Cells,KRT78
Fetal Development,L2,Lung-Squamous Epithelial Cells,S100A9
Fetal Development,L2,Stomach-Goblet Cells,GPRC5A
Fetal Development,L2,Stomach-Goblet Cells,RAB11FIP1
Fetal Development,L2,Stomach-Goblet Cells,ELF3
Fetal Development,L2,Stomach-Goblet Cells,PPARG
Fetal Development,L2,Stomach-Goblet Cells,AGR2
Fetal Development,L2,Stomach-Goblet Cells,PIK3C2G
Fetal Development,L2,Stomach-Goblet Cells,SPINK1
Fetal Development,L2,Stomach-Goblet Cells,LYZ
Fetal Development,L2,Stomach-Goblet Cells,MUC6
Fetal Development,L2,Placenta-Extravillous Trophoblasts,FLT1
Fetal Development,L2,Placenta-Extravillous Trophoblasts,SERPINE2
Fetal Development,L2,Placenta-Extravillous Trophoblasts,ADAM12
Fetal Development,L2,Placenta-Extravillous Trophoblasts,PRG2
Fetal Development,L2,Placenta-Extravillous Trophoblasts,QSOX1
Fetal Development,L2,Placenta-Extravillous Trophoblasts,NOTUM
Fetal Development,L2,Placenta-Extravillous Trophoblasts,FSTL3
Fetal Development,L2,Placenta-Extravillous Trophoblasts,ISM2
Fetal Development,L2,Placenta-Extravillous Trophoblasts,PAPPA2
Fetal Development,L2,Pancreas-ENS Neurons,GAL
Fetal Development,L2,Pancreas-ENS Neurons,NFIX
Fetal Development,L2,Pancreas-ENS Neurons,CD81
Fetal Development,L2,Pancreas-ENS Neurons,TLX2
Fetal Development,L2,Pancreas-ENS Neurons,TUBA1A
Fetal Development,L2,Pancreas-ENS Neurons,VIP
Fetal Development,L2,Pancreas-ENS Neurons,RNASE1
Fetal Development,L2,Pancreas-ENS Neurons,HMX2
Fetal Development,L2,Pancreas-ENS Neurons,PHOX2B
Fetal Development,L2,Intestine-ENS Neurons,EML5
Fetal Development,L2,Intestine-ENS Neurons,DPP6
Fetal Development,L2,Intestine-ENS Neurons,FAM155A
Fetal Development,L2,Intestine-ENS Neurons,KCND2
Fetal Development,L2,Intestine-ENS Neurons,AUTS2
Fetal Development,L2,Intestine-ENS Neurons,RP11-348J24.2
Fetal Development,L2,Intestine-ENS Neurons,FAM163A
Fetal Development,L2,Intestine-ENS Neurons,IQCJ-SCHIP1
Fetal Development,L2,Intestine-ENS Neurons,PHOX2B
Fetal Development,L2,Stomach-ENS Neurons,NAT9
Fetal Development,L2,Stomach-ENS Neurons,RP11-457K10.1
Fetal Development,L2,Stomach-ENS Neurons,PIGO
Fetal Development,L2,Stomach-ENS Neurons,CTA-481E9.3
Fetal Development,L2,Stomach-ENS Neurons,ATP2B3
Fetal Development,L2,Stomach-ENS Neurons,FAM124A
Fetal Development,L2,Stomach-ENS Neurons,SCG2
Fetal Development,L2,Stomach-ENS Neurons,ALK
Fetal Development,L2,Stomach-ENS Neurons,MRPS31P4
Fetal Development,L2,Heart-Visceral Neurons,RGS5
Fetal Development,L2,Heart-Visceral Neurons,SLC5A7
Fetal Development,L2,Heart-Visceral Neurons,SST
Fetal Development,L2,Heart-Visceral Neurons,ALCAM
Fetal Development,L2,Heart-Visceral Neurons,C10ORF85
Fetal Development,L2,Heart-Visceral Neurons,NPY2R
Fetal Development,L2,Heart-Visceral Neurons,STMN2
Fetal Development,L2,Heart-Visceral Neurons,CALM2
Fetal Development,L2,Heart-Visceral Neurons,RBMS3
Fetal Development,L2,Lung-Visceral Neurons,GAL
Fetal Development,L2,Lung-Visceral Neurons,NKAIN3
Fetal Development,L2,Lung-Visceral Neurons,NELL2
Fetal Development,L2,Lung-Visceral Neurons,CHRNA3
Fetal Development,L2,Lung-Visceral Neurons,PRPH
Fetal Development,L2,Lung-Visceral Neurons,SGCZ
Fetal Development,L2,Lung-Visceral Neurons,VIP
Fetal Development,L2,Lung-Visceral Neurons,RUNX1T1
Fetal Development,L2,Lung-Visceral Neurons,ROBO2
Fetal Development,L2,Lung-Ciliated Epithelial Cells,DNAH12
Fetal Development,L2,Lung-Ciliated Epithelial Cells,TPPP3
Fetal Development,L2,Lung-Ciliated Epithelial Cells,OSBPL6
Fetal Development,L2,Lung-Ciliated Epithelial Cells,LRRIQ1
Fetal Development,L2,Lung-Ciliated Epithelial Cells,RPLP1
Fetal Development,L2,Lung-Ciliated Epithelial Cells,AGR3
Fetal Development,L2,Lung-Ciliated Epithelial Cells,AGR2
Fetal Development,L2,Lung-Ciliated Epithelial Cells,C4ORF22
Fetal Development,L2,Lung-Ciliated Epithelial Cells,CAPS
Fetal Development,L2,Stomach-Ciliated Epithelial Cells,DNAH12
Fetal Development,L2,Stomach-Ciliated Epithelial Cells,DNAH3
Fetal Development,L2,Stomach-Ciliated Epithelial Cells,CLPS
Fetal Development,L2,Stomach-Ciliated Epithelial Cells,PSCA
Fetal Development,L2,Stomach-Ciliated Epithelial Cells,S100A6
Fetal Development,L2,Stomach-Ciliated Epithelial Cells,MUC16
Fetal Development,L2,Stomach-Ciliated Epithelial Cells,PLCG2
Fetal Development,L2,Stomach-Ciliated Epithelial Cells,AC079354.1
Fetal Development,L2,Stomach-Ciliated Epithelial Cells,C9ORF117
Fetal Development,L2,Heart-Epicardial Fat Cells,AP000705.7
Fetal Development,L2,Heart-Epicardial Fat Cells,CCDC80
Fetal Development,L2,Heart-Epicardial Fat Cells,MSLN
Fetal Development,L2,Heart-Epicardial Fat Cells,CFH
Fetal Development,L2,Heart-Epicardial Fat Cells,PLA2G2A
Fetal Development,L2,Heart-Epicardial Fat Cells,PRG4
Fetal Development,L2,Heart-Epicardial Fat Cells,RP11-572C15.6
Fetal Development,L2,Heart-Epicardial Fat Cells,SULF1
Fetal Development,L2,Heart-Epicardial Fat Cells,ITLN1
Fetal Development,L2,Stomach-Parietal And Chief Cells,FGD4
Fetal Development,L2,Stomach-Parietal And Chief Cells,IGFBP2
Fetal Development,L2,Stomach-Parietal And Chief Cells,ATP4B
Fetal Development,L2,Stomach-Parietal And Chief Cells,CLIC6
Fetal Development,L2,Stomach-Parietal And Chief Cells,ATP4A
Fetal Development,L2,Stomach-Parietal And Chief Cells,GIF
Fetal Development,L2,Stomach-Parietal And Chief Cells,IGFBP5
Fetal Development,L2,Stomach-Parietal And Chief Cells,ARHGEF28
Fetal Development,L2,Stomach-Parietal And Chief Cells,CLDN18
Fetal Development,L2,Liver-Stellate Cells,CCBE1
Fetal Development,L2,Liver-Stellate Cells,COLEC11
Fetal Development,L2,Liver-Stellate Cells,COLEC10
Fetal Development,L2,Liver-Stellate Cells,ALB
Fetal Development,L2,Liver-Stellate Cells,HGF
Fetal Development,L2,Liver-Stellate Cells,HHIP
Fetal Development,L2,Liver-Stellate Cells,IGFBP3
Fetal Development,L2,Liver-Stellate Cells,NR1H4
Fetal Development,L2,Liver-Stellate Cells,PTH1R
Fetal Development,L2,Placenta-IGFBP1 DKK1 Positive Cells,CFD
Fetal Development,L2,Placenta-IGFBP1 DKK1 Positive Cells,IGFBP1
Fetal Development,L2,Placenta-IGFBP1 DKK1 Positive Cells,SCARA5
Fetal Development,L2,Placenta-IGFBP1 DKK1 Positive Cells,GAS1
Fetal Development,L2,Placenta-IGFBP1 DKK1 Positive Cells,SERPINE1
Fetal Development,L2,Placenta-IGFBP1 DKK1 Positive Cells,CHRDL1
Fetal Development,L2,Placenta-IGFBP1 DKK1 Positive Cells,CD248
Fetal Development,L2,Placenta-IGFBP1 DKK1 Positive Cells,DKK1
Fetal Development,L2,Placenta-IGFBP1 DKK1 Positive Cells,APOD
Fetal Development,L2,Eye-Bipolar Cells,CA10
Fetal Development,L2,Eye-Bipolar Cells,TRPC7
Fetal Development,L2,Eye-Bipolar Cells,ZNF804B
Fetal Development,L2,Eye-Bipolar Cells,ZPBP
Fetal Development,L2,Eye-Bipolar Cells,SLC1A7
Fetal Development,L2,Eye-Bipolar Cells,FSTL5
Fetal Development,L2,Eye-Bipolar Cells,VSX2
Fetal Development,L2,Eye-Bipolar Cells,ZNF385B
Fetal Development,L2,Eye-Bipolar Cells,FAM19A4
Fetal Development,L2,Lung-Neuroendocrine Cells,NKAIN2
Fetal Development,L2,Lung-Neuroendocrine Cells,IGFBP5
Fetal Development,L2,Lung-Neuroendocrine Cells,HEPACAM2
Fetal Development,L2,Lung-Neuroendocrine Cells,NRG1
Fetal Development,L2,Lung-Neuroendocrine Cells,TFF3
Fetal Development,L2,Lung-Neuroendocrine Cells,GHRL
Fetal Development,L2,Lung-Neuroendocrine Cells,SEC11C
Fetal Development,L2,Lung-Neuroendocrine Cells,RALYL
Fetal Development,L2,Lung-Neuroendocrine Cells,ASCL1
Fetal Development,L2,Stomach-Neuroendocrine Cells,CHGA
Fetal Development,L2,Stomach-Neuroendocrine Cells,LINC00261
Fetal Development,L2,Stomach-Neuroendocrine Cells,RFX6
Fetal Development,L2,Stomach-Neuroendocrine Cells,SLC38A11
Fetal Development,L2,Stomach-Neuroendocrine Cells,CLDN18
Fetal Development,L2,Stomach-Neuroendocrine Cells,DIP2B
Fetal Development,L2,Stomach-Neuroendocrine Cells,GHRL
Fetal Development,L2,Stomach-Neuroendocrine Cells,HS3ST4
Fetal Development,L2,Stomach-Neuroendocrine Cells,HS6ST3
Fetal Development,L2,Placenta-PAEP MECOM Positive Cells,AC104654.1
Fetal Development,L2,Placenta-PAEP MECOM Positive Cells,MECOM
Fetal Development,L2,Placenta-PAEP MECOM Positive Cells,RP11-98L5.2
Fetal Development,L2,Placenta-PAEP MECOM Positive Cells,C1ORF186
Fetal Development,L2,Placenta-PAEP MECOM Positive Cells,MUC16
Fetal Development,L2,Placenta-PAEP MECOM Positive Cells,CP
Fetal Development,L2,Placenta-PAEP MECOM Positive Cells,RP11-510D19.1
Fetal Development,L2,Placenta-PAEP MECOM Positive Cells,DEFB1
Fetal Development,L2,Placenta-PAEP MECOM Positive Cells,AC073218.2
Fetal Development,L2,Eye-Corneal And Conjunctival Epithelial Cells,KRT4
Fetal Development,L2,Eye-Corneal And Conjunctival Epithelial Cells,CEACAM6
Fetal Development,L2,Eye-Corneal And Conjunctival Epithelial Cells,SLPI
Fetal Development,L2,Eye-Corneal And Conjunctival Epithelial Cells,LYPD2
Fetal Development,L2,Eye-Corneal And Conjunctival Epithelial Cells,LCN2
Fetal Development,L2,Eye-Corneal And Conjunctival Epithelial Cells,MUC15
Fetal Development,L2,Eye-Corneal And Conjunctival Epithelial Cells,MUC16
Fetal Development,L2,Eye-Corneal And Conjunctival Epithelial Cells,CP
Fetal Development,L2,Eye-Corneal And Conjunctival Epithelial Cells,MUC4
Fetal Development,L2,Liver-Hematopoietic Stem Cells,GPR141
Fetal Development,L2,Liver-Hematopoietic Stem Cells,ANGPT1
Fetal Development,L2,Liver-Hematopoietic Stem Cells,ITGA4
Fetal Development,L2,Liver-Hematopoietic Stem Cells,ALB
Fetal Development,L2,Liver-Hematopoietic Stem Cells,RUNX1
Fetal Development,L2,Liver-Hematopoietic Stem Cells,RP5-964N17.1
Fetal Development,L2,Liver-Hematopoietic Stem Cells,IQGAP2
Fetal Development,L2,Liver-Hematopoietic Stem Cells,RNF220
Fetal Development,L2,Liver-Hematopoietic Stem Cells,ARHGAP15
Fetal Development,L2,Adrenal-CSH1 CSH2 Positive Cells,KISS1
Fetal Development,L2,Adrenal-CSH1 CSH2 Positive Cells,PAGE4
Fetal Development,L2,Adrenal-CSH1 CSH2 Positive Cells,PSG9
Fetal Development,L2,Adrenal-CSH1 CSH2 Positive Cells,CSH2
Fetal Development,L2,Adrenal-CSH1 CSH2 Positive Cells,CSH1
Fetal Development,L2,Adrenal-CSH1 CSH2 Positive Cells,INSL4
Fetal Development,L2,Adrenal-CSH1 CSH2 Positive Cells,CGA
Fetal Development,L2,Adrenal-CSH1 CSH2 Positive Cells,XAGE3
Fetal Development,L2,Adrenal-CSH1 CSH2 Positive Cells,MAGEA10
Fetal Development,L2,Eye-Lens Fibre Cells,LIM2
Fetal Development,L2,Eye-Lens Fibre Cells,MIP
Fetal Development,L2,Eye-Lens Fibre Cells,BFSP2
Fetal Development,L2,Eye-Lens Fibre Cells,CRYGC
Fetal Development,L2,Eye-Lens Fibre Cells,CRYBA1
Fetal Development,L2,Eye-Lens Fibre Cells,CRYBB2
Fetal Development,L2,Eye-Lens Fibre Cells,CRYBA4
Fetal Development,L2,Eye-Lens Fibre Cells,BFSP1
Fetal Development,L2,Eye-Lens Fibre Cells,CRYAA
Fetal Development,L2,Pancreas-CCL19 CCL21 Positive Cells,CXCL12
Fetal Development,L2,Pancreas-CCL19 CCL21 Positive Cells,CXCL13
Fetal Development,L2,Pancreas-CCL19 CCL21 Positive Cells,C1S
Fetal Development,L2,Pancreas-CCL19 CCL21 Positive Cells,CCL21
Fetal Development,L2,Pancreas-CCL19 CCL21 Positive Cells,PRRX1
Fetal Development,L2,Pancreas-CCL19 CCL21 Positive Cells,SLC22A3
Fetal Development,L2,Pancreas-CCL19 CCL21 Positive Cells,TNFSF11
Fetal Development,L2,Pancreas-CCL19 CCL21 Positive Cells,FDCSP
Fetal Development,L2,Pancreas-CCL19 CCL21 Positive Cells,PTGDS
Fetal Development,L2,Placenta-Trophoblast Giant Cells,KISS1
Fetal Development,L2,Placenta-Trophoblast Giant Cells,CSH2
Fetal Development,L2,Placenta-Trophoblast Giant Cells,TFPI2
Fetal Development,L2,Placenta-Trophoblast Giant Cells,ADAM12
Fetal Development,L2,Placenta-Trophoblast Giant Cells,PAPPA
Fetal Development,L2,Placenta-Trophoblast Giant Cells,PSG1
Fetal Development,L2,Placenta-Trophoblast Giant Cells,FBLN1
Fetal Development,L2,Placenta-Trophoblast Giant Cells,CGA
Fetal Development,L2,Placenta-Trophoblast Giant Cells,CYP19A1
Fetal Development,L2,Adrenal-SLC26A4 PAEP Positive Cells,BPIFB1
Fetal Development,L2,Adrenal-SLC26A4 PAEP Positive Cells,IL1A
Fetal Development,L2,Adrenal-SLC26A4 PAEP Positive Cells,LL0XNC01-16G2.1
Fetal Development,L2,Adrenal-SLC26A4 PAEP Positive Cells,HSD3B2
Fetal Development,L2,Adrenal-SLC26A4 PAEP Positive Cells,LINC00086
Fetal Development,L2,Adrenal-SLC26A4 PAEP Positive Cells,RP11-328J2.1
Fetal Development,L2,Adrenal-SLC26A4 PAEP Positive Cells,ASB4
Fetal Development,L2,Adrenal-SLC26A4 PAEP Positive Cells,MAP3K15
Fetal Development,L2,Adrenal-SLC26A4 PAEP Positive Cells,PAEP
Fetal Development,L2,Placenta-AFP ALB Positive Cells,FGB
Fetal Development,L2,Placenta-AFP ALB Positive Cells,AHSG
Fetal Development,L2,Placenta-AFP ALB Positive Cells,ALB
Fetal Development,L2,Placenta-AFP ALB Positive Cells,SLCO1B3
Fetal Development,L2,Placenta-AFP ALB Positive Cells,AFP
Fetal Development,L2,Placenta-AFP ALB Positive Cells,DUSP9
Fetal Development,L2,Placenta-AFP ALB Positive Cells,SERPINA5
Fetal Development,L2,Placenta-AFP ALB Positive Cells,BAAT
Fetal Development,L2,Placenta-AFP ALB Positive Cells,KNG1
Fetal Development,L2,Spleen-AFP ALB Positive Cells,CFHR1
Fetal Development,L2,Spleen-AFP ALB Positive Cells,FGG
Fetal Development,L2,Spleen-AFP ALB Positive Cells,HBG2
Fetal Development,L2,Spleen-AFP ALB Positive Cells,RBP4
Fetal Development,L2,Spleen-AFP ALB Positive Cells,ALB
Fetal Development,L2,Spleen-AFP ALB Positive Cells,HBA1
Fetal Development,L2,Spleen-AFP ALB Positive Cells,AFP
Fetal Development,L2,Spleen-AFP ALB Positive Cells,HBA2
Fetal Development,L2,Spleen-AFP ALB Positive Cells,SERPINA7
Fetal Development,L2,Thymus-Thymic Epithelial Cells,TBATA
Fetal Development,L2,Thymus-Thymic Epithelial Cells,FAM163A
Fetal Development,L2,Thymus-Thymic Epithelial Cells,NEURL2
Fetal Development,L2,Thymus-Thymic Epithelial Cells,PRSS16
Fetal Development,L2,Thymus-Thymic Epithelial Cells,LY75
Fetal Development,L2,Thymus-Thymic Epithelial Cells,MIR205HG
Fetal Development,L2,Thymus-Thymic Epithelial Cells,PAX1
Fetal Development,L2,Thymus-Thymic Epithelial Cells,AC005042.5
Fetal Development,L2,Thymus-Thymic Epithelial Cells,FOXN1
Fetal Development,L2,Eye-PDE11A FAM19A2 Positive Cells,RELN
Fetal Development,L2,Eye-PDE11A FAM19A2 Positive Cells,PTPRR
Fetal Development,L2,Eye-PDE11A FAM19A2 Positive Cells,MEGF10
Fetal Development,L2,Eye-PDE11A FAM19A2 Positive Cells,RP11-689K5.3
Fetal Development,L2,Eye-PDE11A FAM19A2 Positive Cells,CHAT
Fetal Development,L2,Eye-PDE11A FAM19A2 Positive Cells,FAM19A2
Fetal Development,L2,Eye-PDE11A FAM19A2 Positive Cells,KCNAB1
Fetal Development,L2,Eye-PDE11A FAM19A2 Positive Cells,PDE11A
Fetal Development,L2,Eye-PDE11A FAM19A2 Positive Cells,POU6F2
Fetal Development,L2,Thymus-Antigen Presenting Cells,CD74
Fetal Development,L2,Thymus-Antigen Presenting Cells,HLA-DRA
Fetal Development,L2,Thymus-Antigen Presenting Cells,HLA-DPB1
Fetal Development,L2,Thymus-Antigen Presenting Cells,CLNK
Fetal Development,L2,Thymus-Antigen Presenting Cells,WDFY4
Fetal Development,L2,Thymus-Antigen Presenting Cells,CCL19
Fetal Development,L2,Thymus-Antigen Presenting Cells,CIITA
Fetal Development,L2,Thymus-Antigen Presenting Cells,BIRC3
Fetal Development,L2,Thymus-Antigen Presenting Cells,HLA-DRB1
Fetal Development,L2,Heart-SATB2 LRRC7 Positive Cells,NEUROD2
Fetal Development,L2,Heart-SATB2 LRRC7 Positive Cells,NKAIN2
Fetal Development,L2,Heart-SATB2 LRRC7 Positive Cells,RBFOX1
Fetal Development,L2,Heart-SATB2 LRRC7 Positive Cells,GRIN2B
Fetal Development,L2,Heart-SATB2 LRRC7 Positive Cells,FABP7
Fetal Development,L2,Heart-SATB2 LRRC7 Positive Cells,SATB2
Fetal Development,L2,Heart-SATB2 LRRC7 Positive Cells,LRRC7
Fetal Development,L2,Heart-SATB2 LRRC7 Positive Cells,ARPP21
Fetal Development,L2,Heart-SATB2 LRRC7 Positive Cells,CDK5R1
Fetal Development,L2,Heart-ELF3 AGBL2 Positive Cells,MYL7
Fetal Development,L2,Heart-ELF3 AGBL2 Positive Cells,ELF3
Fetal Development,L2,Heart-ELF3 AGBL2 Positive Cells,AGBL2
Fetal Development,L2,Heart-ELF3 AGBL2 Positive Cells,MB
Fetal Development,L2,Heart-ELF3 AGBL2 Positive Cells,MYL2
Fetal Development,L2,Heart-ELF3 AGBL2 Positive Cells,TNNC1
Fetal Development,L2,Heart-ELF3 AGBL2 Positive Cells,MYL3
Fetal Development,L2,Heart-ELF3 AGBL2 Positive Cells,MYH7
Fetal Development,L2,Heart-ELF3 AGBL2 Positive Cells,TNNI1
Fetal Development,L2,Heart-CLC IL5RA Positive Cells,PLN
Fetal Development,L2,Heart-CLC IL5RA Positive Cells,MYL7
Fetal Development,L2,Heart-CLC IL5RA Positive Cells,HAND1
Fetal Development,L2,Heart-CLC IL5RA Positive Cells,HSPB7
Fetal Development,L2,Heart-CLC IL5RA Positive Cells,TNNT2
Fetal Development,L2,Heart-CLC IL5RA Positive Cells,MYL3
Fetal Development,L2,Heart-CLC IL5RA Positive Cells,IL5RA
Fetal Development,L2,Heart-CLC IL5RA Positive Cells,MS4A3
Fetal Development,L2,Heart-CLC IL5RA Positive Cells,MYH7
Fetal Development,L2,Stomach-PDE1C ACSM3 Positive Cells,TFCP2L1
Fetal Development,L2,Stomach-PDE1C ACSM3 Positive Cells,ACSM3
Fetal Development,L2,Stomach-PDE1C ACSM3 Positive Cells,PDE1C
Fetal Development,L2,Stomach-PDE1C ACSM3 Positive Cells,ST14
Fetal Development,L2,Stomach-PDE1C ACSM3 Positive Cells,STAC2
Fetal Development,L2,Stomach-PDE1C ACSM3 Positive Cells,HEPACAM2
Fetal Development,L2,Stomach-PDE1C ACSM3 Positive Cells,CLNK
Fetal Development,L2,Stomach-PDE1C ACSM3 Positive Cells,ATP6V0D2
Fetal Development,L2,Stomach-PDE1C ACSM3 Positive Cells,BMPR1B
Fetal Development,L2,Cerebrum-Megakaryocytes,TREML1
Fetal Development,L2,Cerebrum-Megakaryocytes,C6ORF25
Fetal Development,L2,Cerebrum-Megakaryocytes,PPBP
Fetal Development,L2,Cerebrum-Megakaryocytes,TUBB1
Fetal Development,L2,Cerebrum-Megakaryocytes,GP5
Fetal Development,L2,Cerebrum-Megakaryocytes,GP1BA
Fetal Development,L2,Cerebrum-Megakaryocytes,GP6
Fetal Development,L2,Cerebrum-Megakaryocytes,LY6G6F
