miRTarBase ID,miRNA,Species (miRNA),Target Gene,Target Gene (Entrez ID),Species (Target Gene),Experiments,Support Type,References (PMID)
MIRT000600,hsa-miR-17-5p,hsa,CDKN1A,1026.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26482648.0
MIRT000600,hsa-miR-17-5p,hsa,CDKN1A,1026.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26482648.0
MIRT000600,hsa-miR-17-5p,hsa,CDKN1A,1026.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,26482648.0
MIRT000600,hsa-miR-17-5p,hsa,CDKN1A,1026.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,26482648.0
MIRT726798,hsa-miR-92a-3p,hsa,RAD21,5885.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26482648.0
MIRT726798,hsa-miR-92a-3p,hsa,RAD21,5885.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26482648.0
MIRT726798,hsa-miR-92a-3p,hsa,RAD21,5885.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26482648.0
MIRT726798,hsa-miR-92a-3p,hsa,RAD21,5885.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,26482648.0
MIRT726798,hsa-miR-92a-3p,hsa,RAD21,5885.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,26482648.0
MIRT053125,hsa-miR-29a-3p,hsa,AKT3,10000.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26482618.0
MIRT053125,hsa-miR-29a-3p,hsa,AKT3,10000.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Non-Functional MTI,26482618.0
MIRT004904,hsa-miR-145-5p,hsa,POU5F1,5460.0,hsa,qRT-PCR//Western blot,Functional MTI,25634023.0
MIRT027862,hsa-miR-98-5p,hsa,NRAS,4893.0,hsa,Immunofluorescence//In situ hybridization//Microarray//qRT-PCR//Western blot,Functional MTI,26244871.0
MIRT027862,hsa-miR-98-5p,hsa,NRAS,4893.0,hsa,Immunofluorescence//In situ hybridization//Microarray//qRT-PCR//Western blot,Non-Functional MTI,26244871.0
MIRT044747,hsa-miR-320a,hsa,VDAC1,7416.0,hsa,qRT-PCR//Western blot,Functional MTI,26472185.0
MIRT044747,hsa-miR-320a,hsa,VDAC1,7416.0,hsa,qRT-PCR//Western blot,Non-Functional MTI,26472185.0
MIRT001209,hsa-miR-494-3p,hsa,PTEN,5728.0,hsa,Immunofluorescence//Immunohistochemistry//qRT-PCR//Western blot,Functional MTI,25662849.0
MIRT001756,hsa-miR-34a-5p,hsa,E2F3,1871.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,25675046.0
MIRT001756,hsa-miR-34a-5p,hsa,E2F3,1871.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,25675046.0
MIRT002915,hsa-miR-124-3p,hsa,MYO10,4651.0,hsa,ELISA//Immunohistochemistry//Luciferase reporter assay//Microarray//qRT-PCR//Western blot,Functional MTI,25749519.0
MIRT154313,hsa-miR-191-5p,hsa,CEBPB,1051.0,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,25784653.0
