id_cp_interaction,partner_a_Ligand,partner_b_Receptor,,protein_name_a_Ligand,protein_name_b_Receptor,annotation_strategy,source,is_ppi,curator,reactome_complex,reactome_reaction,reactome_pathway,complexPortal_complex,comments,version,interaction_name-,classification,directionality,modulatory_effect
,Q05707,integrin_a11b1_complex,COEA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL14A1-ITGA11+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q05707,integrin_a2b1_complex,COEA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL14A1-ITGA2+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P39059,integrin_a1b1_complex,COFA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL15A1-ITGA1+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P39059,integrin_a10b1_complex,COFA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL15A1-ITGA10+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P39059,integrin_a11b1_complex,COFA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL15A1-ITGA11+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P39059,integrin_a2b1_complex,COFA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL15A1-ITGA2+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q07092,integrin_a1b1_complex,COGA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL16A1-ITGA1+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q07092,integrin_a10b1_complex,COGA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL16A1-ITGA10+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q07092,integrin_a11b1_complex,COGA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL16A1-ITGA11+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q07092,integrin_a2b1_complex,COGA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL16A1-ITGA2+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q9UMD9,integrin_a1b1_complex,COHA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL17A1-ITGA1+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q9UMD9,integrin_a10b1_complex,COHA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL17A1-ITGA10+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q9UMD9,integrin_a11b1_complex,COHA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL17A1-ITGA11+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,Q9UMD9,integrin_a2b1_complex,COHA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL17A1-ITGA2+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
,P39060,integrin_a1b1_complex,COIA1,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1,COL18A1-ITGA1+ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,
