celltype,metaprogram_id,metaprogram_description,url,gene
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,CCNG1
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,CFAP68
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,EIF2A
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,EIF2S3
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,EIF3D
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,EIF3E
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,EIF3F
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,EIF3M
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,EIF4B
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,EPB41L4A-AS1
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,EPRS1
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,EXOSC5
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,FBL
MALIGNANT,METAPROGRAM_11,TRANSLATION_INITIATION,https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GAVISH_3CA_MALIGNANT_METAPROGRAM_11_TRANSLATION_INITIATION,H2AC25
