celltype,metaprogram_description,gene
FIBROBLASTS,CAF4,MXRA5
FIBROBLASTS,Lipid-metabolism,KCNJ8
FIBROBLASTS,CAF5,GADD45B
FIBROBLASTS,CAF6,LRRFIP1
FIBROBLASTS,CAF7,CXCL14
FIBROBLASTS,CAF8,COL10A1
FIBROBLASTS,MHC-II,PTN
FIBROBLASTS,CAF9,MT1A
FIBROBLASTS,CAF10,PPP1R14A
FIBROBLASTS,CAF1,CCDC80
FIBROBLASTS,Pericyte-like,PLXDC1
FIBROBLASTS,Complement,GPNMB
FIBROBLASTS,Stress,HES1
FIBROBLASTS,Hypoxia,CXCL5
FIBROBLASTS,Cell-cycle,ANLN
FIBROBLASTS,Interferon,CXCL11
FIBROBLASTS,Myofibroblasts,GLIPR1
FIBROBLASTS,PI16+,EMILIN2
FIBROBLASTS,Metal-response,TMEM176B
FIBROBLASTS,CAF2,CHN1
FIBROBLASTS,CAF3,LTBP2
FIBROBLASTS,MHC-II/Cytokine,LXN
FIBROBLASTS,CAF4,COL12A1
FIBROBLASTS,Lipid-metabolism,OAZ2
FIBROBLASTS,CAF5,HSPA1A
FIBROBLASTS,CAF6,SPON2
FIBROBLASTS,CAF7,CXCL6
FIBROBLASTS,CAF8,COL16A1
FIBROBLASTS,MHC-II,PLP1
FIBROBLASTS,CAF9,MYC
FIBROBLASTS,CAF10,PRDM1
FIBROBLASTS,CAF1,MXRA5
FIBROBLASTS,Pericyte-like,FRZB
FIBROBLASTS,Complement,TNXB
FIBROBLASTS,Stress,ICAM1
FIBROBLASTS,Hypoxia,PLAU
FIBROBLASTS,Cell-cycle,ANP32E
FIBROBLASTS,Interferon,CXCL9
FIBROBLASTS,Myofibroblasts,LOX
FIBROBLASTS,PI16+,EMP3
FIBROBLASTS,Metal-response,UPK3B
FIBROBLASTS,CAF2,LAMB1
FIBROBLASTS,CAF3,MAMDC2
FIBROBLASTS,MHC-II/Cytokine,CD24
FIBROBLASTS,CAF4,ANKRD36C
FIBROBLASTS,Lipid-metabolism,PLAT
FIBROBLASTS,CAF5,IGFBP2
FIBROBLASTS,CAF6,TAGLN
FIBROBLASTS,CAF7,DLL1
FIBROBLASTS,CAF8,CYP1B1
FIBROBLASTS,MHC-II,STMN1
FIBROBLASTS,CAF9,NR3C1
FIBROBLASTS,CAF10,SPRY1
FIBROBLASTS,CAF1,FNDC1
FIBROBLASTS,Pericyte-like,EPS8
FIBROBLASTS,Complement,DPT
FIBROBLASTS,Stress,MCL1
FIBROBLASTS,Hypoxia,SCG5
FIBROBLASTS,Cell-cycle,CDK1
FIBROBLASTS,Interferon,IFIT2
FIBROBLASTS,Myofibroblasts,SEC13
FIBROBLASTS,PI16+,FLNB
FIBROBLASTS,Metal-response,KRT18
FIBROBLASTS,CAF2,NREP
FIBROBLASTS,CAF3,RARRES2
FIBROBLASTS,MHC-II/Cytokine,CHI3L2
FIBROBLASTS,CAF4,ATXN1
FIBROBLASTS,Lipid-metabolism,TFPI
FIBROBLASTS,CAF5,MTHFD2
FIBROBLASTS,CAF6,JUND
FIBROBLASTS,CAF7,F2R
FIBROBLASTS,CAF8,ENG
FIBROBLASTS,MHC-II,OCIAD2
FIBROBLASTS,CAF9,PTGS2
FIBROBLASTS,CAF10,TGFBI
FIBROBLASTS,CAF1,SDC1
FIBROBLASTS,Pericyte-like,NR2F2
FIBROBLASTS,Complement,PODN
FIBROBLASTS,Stress,IL6
FIBROBLASTS,Hypoxia,UPP1
FIBROBLASTS,Cell-cycle,HMGN2
FIBROBLASTS,Interferon,IRF7
FIBROBLASTS,Myofibroblasts,SUGCT
FIBROBLASTS,PI16+,NOV
FIBROBLASTS,Metal-response,UPK1B
FIBROBLASTS,CAF2,SPARCL1
FIBROBLASTS,CAF3,SEPP1
FIBROBLASTS,MHC-II/Cytokine,CXCL1
FIBROBLASTS,CAF4,TRIO
FIBROBLASTS,Lipid-metabolism,GUCY1A2
FIBROBLASTS,CAF5,NET1
FIBROBLASTS,CAF6,PHLDA2
FIBROBLASTS,CAF7,MGST1
FIBROBLASTS,CAF8,FRZB
FIBROBLASTS,MHC-II,TSPAN15
FIBROBLASTS,CAF9,SPRY2
FIBROBLASTS,CAF10,TMEM176A
FIBROBLASTS,CAF1,AEBP1
FIBROBLASTS,Pericyte-like,TFPI
FIBROBLASTS,Complement,WISP2
FIBROBLASTS,Stress,ADAMTS1
FIBROBLASTS,Hypoxia,C15ORF48
FIBROBLASTS,Cell-cycle,KIF20B
FIBROBLASTS,Interferon,MT2A
FIBROBLASTS,Myofibroblasts,TUBA1A
FIBROBLASTS,PI16+,PCSK6
FIBROBLASTS,Metal-response,SLC34A2
FIBROBLASTS,CAF2,WNT5A
FIBROBLASTS,CAF3,SRGN
FIBROBLASTS,MHC-II/Cytokine,CYR61
FIBROBLASTS,CAF4,RUNX1
FIBROBLASTS,Lipid-metabolism,CCDC102B
FIBROBLASTS,CAF5,NNMT
FIBROBLASTS,CAF6,LUM
FIBROBLASTS,CAF7,PDGFRA
FIBROBLASTS,CAF8,HAND2-AS1
FIBROBLASTS,MHC-II,RDX
FIBROBLASTS,CAF9,SPSB1
FIBROBLASTS,CAF10,TMEM176B
FIBROBLASTS,CAF1,CXCL14
FIBROBLASTS,Pericyte-like,CNN1
FIBROBLASTS,Complement,PLAC9
FIBROBLASTS,Stress,KDM6B
FIBROBLASTS,Hypoxia,EGLN3
FIBROBLASTS,Cell-cycle,TMEM106C
FIBROBLASTS,Interferon,MX2
FIBROBLASTS,Myofibroblasts,MFAP5
FIBROBLASTS,PI16+,PLA1A
FIBROBLASTS,Metal-response,MT1E
FIBROBLASTS,CAF2,C1QTNF6
FIBROBLASTS,CAF3,VEGFD
FIBROBLASTS,MHC-II/Cytokine,DNAJB1
FIBROBLASTS,CAF4,ENAH
FIBROBLASTS,Lipid-metabolism,COL3A1
FIBROBLASTS,CAF5,PDK4
FIBROBLASTS,CAF6,ANXA3
FIBROBLASTS,CAF7,PLPP1
FIBROBLASTS,CAF8,ITGB5
FIBROBLASTS,MHC-II,MARCKSL1
FIBROBLASTS,CAF9,THAP2
FIBROBLASTS,CAF10,TSLP
FIBROBLASTS,CAF1,MFAP2
FIBROBLASTS,Pericyte-like,PDGFRB
FIBROBLASTS,Complement,CFH
FIBROBLASTS,Stress,ID1
FIBROBLASTS,Hypoxia,IGFBP3
FIBROBLASTS,Cell-cycle,TUBA1C
FIBROBLASTS,Interferon,SOD2
FIBROBLASTS,Myofibroblasts,GLIPR2
FIBROBLASTS,PI16+,PTGS1
FIBROBLASTS,Metal-response,SERPINB4
FIBROBLASTS,CAF2,CTSC
FIBROBLASTS,CAF3,FIGF
FIBROBLASTS,MHC-II/Cytokine,HSD11B1
FIBROBLASTS,CAF4,ARHGEF12
FIBROBLASTS,Lipid-metabolism,IMPA2
FIBROBLASTS,CAF5,PHLDA2
FIBROBLASTS,CAF6,MYADM
FIBROBLASTS,CAF7,RGCC
FIBROBLASTS,CAF8,LRRC32
FIBROBLASTS,MHC-II,ARHGAP15
FIBROBLASTS,CAF9,THBS2
FIBROBLASTS,CAF10,IGFBP2
FIBROBLASTS,CAF1,PLAU
FIBROBLASTS,Pericyte-like,EPAS1
FIBROBLASTS,Complement,MT1X
FIBROBLASTS,Stress,ID2
FIBROBLASTS,Hypoxia,MT1E
FIBROBLASTS,Cell-cycle,ASPM
FIBROBLASTS,Interferon,VCAM1
FIBROBLASTS,Myofibroblasts,TNC
FIBROBLASTS,PI16+,TMEM100
FIBROBLASTS,Metal-response,CD74
FIBROBLASTS,CAF2,ITGA1
FIBROBLASTS,CAF3,ITGA8
FIBROBLASTS,MHC-II/Cytokine,RAMP3
FIBROBLASTS,CAF4,MAP4K4
FIBROBLASTS,Lipid-metabolism,NID1
FIBROBLASTS,CAF5,RERGL
FIBROBLASTS,CAF6,KRT7
FIBROBLASTS,CAF7,SERPINE2
FIBROBLASTS,CAF8,MATN3
FIBROBLASTS,MHC-II,FAM107B
FIBROBLASTS,CAF9,TXN
FIBROBLASTS,CAF10,GMFG
FIBROBLASTS,CAF1,SPARC
FIBROBLASTS,Pericyte-like,ACTG2
FIBROBLASTS,Complement,SPARCL1
FIBROBLASTS,Stress,HSPH1
FIBROBLASTS,Hypoxia,STEAP1
FIBROBLASTS,Cell-cycle,H2AFV
FIBROBLASTS,Interferon,XAF1
FIBROBLASTS,Myofibroblasts,SMYD3
FIBROBLASTS,PI16+,ZFP385A
FIBROBLASTS,Metal-response,YPEL3
FIBROBLASTS,CAF2,MEST
FIBROBLASTS,CAF3,BMP5
FIBROBLASTS,MHC-II/Cytokine,SERPINB9
FIBROBLASTS,CAF4,RIF1
FIBROBLASTS,Lipid-metabolism,PAG1
FIBROBLASTS,CAF5,SYNPO2
FIBROBLASTS,CAF6,CD44
FIBROBLASTS,CAF7,WNT2
FIBROBLASTS,CAF8,NFIX
FIBROBLASTS,MHC-II,PDGFA
FIBROBLASTS,CAF9,TXNRD1
FIBROBLASTS,CAF10,MME
FIBROBLASTS,CAF1,ELN
FIBROBLASTS,Pericyte-like,ESAM
FIBROBLASTS,Complement,FMO2
FIBROBLASTS,Stress,TNFAIP3
FIBROBLASTS,Hypoxia,WNT5A
FIBROBLASTS,Cell-cycle,MCM7
FIBROBLASTS,Interferon,CCL11
FIBROBLASTS,Myofibroblasts,ALDH1B1
FIBROBLASTS,PI16+,SBSN
FIBROBLASTS,Metal-response,ADIRF
FIBROBLASTS,CAF2,PLXDC1
FIBROBLASTS,CAF3,PLPP3
FIBROBLASTS,MHC-II/Cytokine,SOCS3
FIBROBLASTS,CAF4,STAT2
FIBROBLASTS,Lipid-metabolism,CCND2
FIBROBLASTS,CAF5,THBS1
FIBROBLASTS,CAF6,TOB1
FIBROBLASTS,CAF7,MGP
FIBROBLASTS,CAF8,NT5DC2
FIBROBLASTS,MHC-II,COL8A1
FIBROBLASTS,CAF9,UGDH
FIBROBLASTS,CAF10,TRPA1
FIBROBLASTS,CAF1,FBN1
FIBROBLASTS,Pericyte-like,IGFBP7
FIBROBLASTS,Complement,TXNIP
FIBROBLASTS,Stress,CYR61
FIBROBLASTS,Hypoxia,PGK1
FIBROBLASTS,Cell-cycle,CKAP2
FIBROBLASTS,Interferon,OAS3
FIBROBLASTS,Myofibroblasts,ZYX
FIBROBLASTS,PI16+,FNDC1
FIBROBLASTS,Metal-response,DAB2
FIBROBLASTS,CAF2,TGFB3
FIBROBLASTS,CAF3,METTL7A
FIBROBLASTS,MHC-II/Cytokine,TGM2
FIBROBLASTS,CAF4,PHLDB1
FIBROBLASTS,Lipid-metabolism,SLC12A2
FIBROBLASTS,CAF5,ASPN
FIBROBLASTS,CAF6,ERRFI1
FIBROBLASTS,CAF7,CCL2
FIBROBLASTS,CAF8,PRELP
FIBROBLASTS,MHC-II,RASSF4
FIBROBLASTS,CAF9,VASN
FIBROBLASTS,CAF10,IL7R
FIBROBLASTS,CAF1,PRSS23
FIBROBLASTS,Pericyte-like,MGP
FIBROBLASTS,Complement,PI16
FIBROBLASTS,Stress,BAG3
FIBROBLASTS,Hypoxia,CCL2
FIBROBLASTS,Cell-cycle,RPA3
FIBROBLASTS,Interferon,OASL
FIBROBLASTS,Myofibroblasts,TIMP3
FIBROBLASTS,PI16+,LIMCH1
FIBROBLASTS,Metal-response,GBP2
FIBROBLASTS,CAF2,CHCHD10
FIBROBLASTS,CAF3,SLIT2
FIBROBLASTS,MHC-II/Cytokine,TIMP1
FIBROBLASTS,CAF4,HNRNPU
FIBROBLASTS,Lipid-metabolism,KCNE4
FIBROBLASTS,CAF5,LITAF
FIBROBLASTS,CAF6,MRGPRF
FIBROBLASTS,CAF7,DPT
FIBROBLASTS,CAF8,SERPINE1
FIBROBLASTS,MHC-II,MEF2C
FIBROBLASTS,CAF9,VEGFA
FIBROBLASTS,CAF10,RBP1
FIBROBLASTS,CAF1,PALLD
FIBROBLASTS,Pericyte-like,PLN
FIBROBLASTS,Complement,MFAP5
FIBROBLASTS,Stress,SAT1
FIBROBLASTS,Hypoxia,FAM162A
FIBROBLASTS,Cell-cycle,TPX2
FIBROBLASTS,Interferon,IDO1
FIBROBLASTS,Myofibroblasts,COL11A1
FIBROBLASTS,PI16+,LURAP1L
FIBROBLASTS,Metal-response,SEL1L3
FIBROBLASTS,CAF2,ID4
FIBROBLASTS,CAF3,TIMP3
FIBROBLASTS,MHC-II/Cytokine,UBD
FIBROBLASTS,CAF4,HNRNPH1
FIBROBLASTS,Lipid-metabolism,ITM2C
FIBROBLASTS,CAF5,EGR1
FIBROBLASTS,CAF6,PLEC
FIBROBLASTS,CAF7,GGT5
FIBROBLASTS,CAF8,ZCCHC24
FIBROBLASTS,MHC-II,ENDOD1
FIBROBLASTS,CAF9,KCNE4
FIBROBLASTS,CAF10,TNFSF11
FIBROBLASTS,CAF1,DPT
FIBROBLASTS,Pericyte-like,JAG1
FIBROBLASTS,Complement,SFRP1
FIBROBLASTS,Stress,BRD2
FIBROBLASTS,Hypoxia,ENO1
FIBROBLASTS,Cell-cycle,PCLAF
FIBROBLASTS,Interferon,DDX58
FIBROBLASTS,Myofibroblasts,YIF1A
FIBROBLASTS,PI16+,1700019D03RIK
FIBROBLASTS,Metal-response,MT1H
FIBROBLASTS,CAF2,HSPA1A
FIBROBLASTS,CAF3,C7
FIBROBLASTS,MHC-II/Cytokine,RRAD
FIBROBLASTS,CAF4,SPEN
FIBROBLASTS,Lipid-metabolism,TXNIP
FIBROBLASTS,CAF5,COL14A1
FIBROBLASTS,CAF6,MEG3
FIBROBLASTS,CAF7,GPM6B
FIBROBLASTS,CAF8,C2ORF40
FIBROBLASTS,MHC-II,SORBS2
FIBROBLASTS,CAF9,PTX3
FIBROBLASTS,CAF10,FABP5
