Index,DataSetID,species,RBPSYMBOL,CELLLINE,Genesymbol,Disease,baseMean,log2FC,padj,Change,_disease,_species,_type
21,DataSet_37,human,ADAR,AGS,hsa-miR-146b-5p,Gastric adenocarcinoma,70.5,-7.14974711950468,0.0,Down,Gastric adenocarcinoma,human,miRNA
22,DataSet_37,human,ADAR,AGS,hsa-miR-331-5p,Gastric adenocarcinoma,68.5,7.10852445677817,0.0,Up,Gastric adenocarcinoma,human,miRNA
23,DataSet_37,human,ADAR,AGS,hsa-miR-339-5p,Gastric adenocarcinoma,63.5,-7.0,0.0,Down,Gastric adenocarcinoma,human,miRNA
24,DataSet_37,human,ADAR,AGS,hsa-miR-19a-5p,Gastric adenocarcinoma,63.0,-6.98868468677217,0.0,Down,Gastric adenocarcinoma,human,miRNA
101,DataSet_38,human,ADAR,MKN45,hsa-miR-374b-5p,Gastric adenocarcinoma,55.5,-6.8073549220576,0.0,Down,Gastric adenocarcinoma,human,miRNA
25,DataSet_37,human,ADAR,AGS,hsa-miR-660-5p,Gastric adenocarcinoma,38.0,6.2667865406949,0.0,Up,Gastric adenocarcinoma,human,miRNA
26,DataSet_37,human,ADAR,AGS,hsa-miR-421,Gastric adenocarcinoma,34.5,-6.12928301694497,0.0,Down,Gastric adenocarcinoma,human,miRNA
102,DataSet_38,human,ADAR,MKN45,hsa-miR-190a-5p,Gastric adenocarcinoma,34.0,6.10852445677817,0.0,Up,Gastric adenocarcinoma,human,miRNA
27,DataSet_37,human,ADAR,AGS,hsa-miR-18a-5p,Gastric adenocarcinoma,33.5,-6.08746284125034,0.0,Down,Gastric adenocarcinoma,human,miRNA
28,DataSet_37,human,ADAR,AGS,hsa-miR-34a-5p,Gastric adenocarcinoma,31.5,6.0,0.0,Up,Gastric adenocarcinoma,human,miRNA
29,DataSet_37,human,ADAR,AGS,hsa-miR-143-5p,Gastric adenocarcinoma,30.5,5.95419631038687,0.0,Up,Gastric adenocarcinoma,human,miRNA
103,DataSet_38,human,ADAR,MKN45,hsa-miR-20b-5p,Gastric adenocarcinoma,28.0,-5.83289001416474,0.0,Down,Gastric adenocarcinoma,human,miRNA
32,DataSet_37,human,ADAR,AGS,hsa-miR-664a-5p,Gastric adenocarcinoma,27.0,-5.78135971352466,0.0,Down,Gastric adenocarcinoma,human,miRNA
30,DataSet_37,human,ADAR,AGS,hsa-miR-152-5p,Gastric adenocarcinoma,27.0,-5.78135971352466,0.0,Down,Gastric adenocarcinoma,human,miRNA
31,DataSet_37,human,ADAR,AGS,hsa-miR-516a-5p,Gastric adenocarcinoma,27.0,5.78135971352466,0.0,Up,Gastric adenocarcinoma,human,miRNA
33,DataSet_37,human,ADAR,AGS,hsa-miR-942-5p,Gastric adenocarcinoma,26.0,5.7279204545632,0.0,Up,Gastric adenocarcinoma,human,miRNA
34,DataSet_37,human,ADAR,AGS,hsa-miR-574-5p,Gastric adenocarcinoma,24.5,5.64385618977472,0.0,Up,Gastric adenocarcinoma,human,miRNA
36,DataSet_37,human,ADAR,AGS,hsa-miR-519b-5p,Gastric adenocarcinoma,19.5,5.32192809488736,0.0,Up,Gastric adenocarcinoma,human,miRNA
35,DataSet_37,human,ADAR,AGS,hsa-miR-1303,Gastric adenocarcinoma,19.5,-5.32192809488736,0.0,Down,Gastric adenocarcinoma,human,miRNA
104,DataSet_38,human,ADAR,MKN45,hsa-miR-877-5p,Gastric adenocarcinoma,18.0,-5.20945336562895,0.0,Down,Gastric adenocarcinoma,human,miRNA
37,DataSet_37,human,ADAR,AGS,hsa-miR-1296-5p,Gastric adenocarcinoma,17.5,-5.16992500144231,0.0,Down,Gastric adenocarcinoma,human,miRNA
105,DataSet_38,human,ADAR,MKN45,hsa-miR-574-5p,Gastric adenocarcinoma,17.0,5.12928301694497,0.0,Up,Gastric adenocarcinoma,human,miRNA
38,DataSet_37,human,ADAR,AGS,hsa-miR-32-5p,Gastric adenocarcinoma,16.5,5.08746284125034,0.0,Up,Gastric adenocarcinoma,human,miRNA
106,DataSet_38,human,ADAR,MKN45,hsa-miR-935,Gastric adenocarcinoma,15.0,4.95419631038687,0.0,Up,Gastric adenocarcinoma,human,miRNA
107,DataSet_38,human,ADAR,MKN45,hsa-miR-1296-5p,Gastric adenocarcinoma,14.5,4.90689059560852,0.0,Up,Gastric adenocarcinoma,human,miRNA
108,DataSet_38,human,ADAR,MKN45,hsa-miR-1301-5p,Gastric adenocarcinoma,13.5,4.8073549220576,0.0,Up,Gastric adenocarcinoma,human,miRNA
109,DataSet_38,human,ADAR,MKN45,hsa-miR-95-5p,Gastric adenocarcinoma,13.5,4.8073549220576,0.0,Up,Gastric adenocarcinoma,human,miRNA
110,DataSet_38,human,ADAR,MKN45,hsa-miR-224-5p,Gastric adenocarcinoma,12.0,-4.64385618977472,0.0,Down,Gastric adenocarcinoma,human,miRNA
39,DataSet_37,human,ADAR,AGS,hsa-miR-548ar-5p,Gastric adenocarcinoma,11.5,4.58496250072116,0.0,Up,Gastric adenocarcinoma,human,miRNA
40,DataSet_37,human,ADAR,AGS,hsa-miR-548e-5p,Gastric adenocarcinoma,11.5,-4.58496250072116,0.0,Down,Gastric adenocarcinoma,human,miRNA
41,DataSet_37,human,ADAR,AGS,hsa-miR-375-5p,Gastric adenocarcinoma,11.0,-4.52356195605701,0.0,Down,Gastric adenocarcinoma,human,miRNA
111,DataSet_38,human,ADAR,MKN45,hsa-miR-320d,Gastric adenocarcinoma,10.5,-4.4594316186373,0.0,Down,Gastric adenocarcinoma,human,miRNA
42,DataSet_37,human,ADAR,AGS,hsa-miR-33b-5p,Gastric adenocarcinoma,10.0,-4.39231742277876,0.0,Down,Gastric adenocarcinoma,human,miRNA
43,DataSet_37,human,ADAR,AGS,hsa-miR-302d-5p,Gastric adenocarcinoma,299.0,-4.35251641472079,0.0,Down,Gastric adenocarcinoma,human,miRNA
44,DataSet_37,human,ADAR,AGS,hsa-miR-519a-5p,Gastric adenocarcinoma,9.5,-4.32192809488736,0.0,Down,Gastric adenocarcinoma,human,miRNA
112,DataSet_38,human,ADAR,MKN45,hsa-miR-744-5p,Gastric adenocarcinoma,9.5,-4.32192809488736,0.0,Down,Gastric adenocarcinoma,human,miRNA
113,DataSet_38,human,ADAR,MKN45,hsa-miR-3605-5p,Gastric adenocarcinoma,9.0,4.24792751344359,0.0,Up,Gastric adenocarcinoma,human,miRNA
45,DataSet_37,human,ADAR,AGS,hsa-miR-641,Gastric adenocarcinoma,9.0,-4.24792751344359,0.0,Down,Gastric adenocarcinoma,human,miRNA
46,DataSet_37,human,ADAR,AGS,hsa-miR-589-5p,Gastric adenocarcinoma,8.0,4.08746284125034,0.0,Up,Gastric adenocarcinoma,human,miRNA
47,DataSet_37,human,ADAR,AGS,hsa-miR-7-5p,Gastric adenocarcinoma,19056.0,-3.92646745662014,0.0,Down,Gastric adenocarcinoma,human,miRNA
48,DataSet_37,human,ADAR,AGS,hsa-miR-324-3p,Gastric adenocarcinoma,7.0,-3.90689059560852,0.0,Down,Gastric adenocarcinoma,human,miRNA
49,DataSet_37,human,ADAR,AGS,hsa-miR-4659a-5p,Gastric adenocarcinoma,6.5,3.8073549220576,0.0,Up,Gastric adenocarcinoma,human,miRNA
50,DataSet_37,human,ADAR,AGS,hsa-miR-877-5p,Gastric adenocarcinoma,120.0,-3.7263183499667,0.0,Down,Gastric adenocarcinoma,human,miRNA
